Seq,Phase,Scope,Trigger / Rule,Kind,Fires when,Defined in,What happens — side effects & details,Assessment,To-do (edit me)
1,"0 · Ambient doctrine","All sessions","The folder tree IS the orchestration / never build an orchestrator","Doctrine","Always — governs every design decision and every session","`AGENTS.md`; `~/.claude/CLAUDE.md`; `_system/README.md` house doctrine; D3+D11 in `.icm/project.md`; `WORKSPACES.md`","No script or framework ever drives a pipeline. A workspace = stage contracts + human gates; stages run when Jamie enters them; nothing advances work across a gate; no outbound action leaves a session. D11 narrows: a project repo`s own deterministic one-job scripts, and CI acting only after a human-authorised merge, are factory, not orchestrator. icm-board itself drives nothing — it describes, checks, seeds.","Good — the founding rule; survived the return of the business processes intact and D11`s narrowing is precise. It is the reason a resolver (read-only) is legal but a scheduler is not.","—"
2,"0 · Ambient doctrine","All sessions","Gates are human checkboxes — read, never tick","Doctrine","Any gate encountered: PR checkboxes, stage gates, review surfaces","`AGENTS.md`; `PIPELINE.md` § Gates; pipeline SKILL step 5; global icm-session-start hook (injects the line every ICM session)","Agent reads gate state (anchored comments in PR bodies so parsing never depends on wording); unticked → STOP and say so. No scripted exception anywhere. A missing anchor means `not required`, never `unticked`. Ticking Ready-to-merge attests the owner`s own testing.","Good — crisp, universally stated, and mechanically supported (anchors). One of the few rules injected programmatically every session.","—"
3,"0 · Ambient doctrine","All sessions","CI is the source of truth — never run local checks","Doctrine + programmed twice","Any urge to build/lint/typecheck/test/format or start a dev server","`~/.claude/CLAUDE.md`; every AGENTS.md; `pr-conventions` skill; enforced by global `block-local-checks.sh` hook AND `opencode.json` deny rules","Job ends at `git push`; results are read from CI. Holds even when CI fails citing those errors. Enforced belt-and-braces: Claude hook blocks at PreToolUse; OpenCode denies via permission map; pipeline profile formalises the read as `ci-status.sh` GREEN/RED/PENDING.","Good — the estate`s best-enforced rule: stated in prose, blocked in both harnesses, formalised in the pipeline. A model for how the other doctrine rows could be hardened.","—"
4,"0 · Ambient doctrine","All sessions","Adopt or stop — never fabricate","Doctrine","Encountering an existing run, register, deal, or ticket set","`~/.claude/CLAUDE.md`; `/project` guards; `deals/README.md` § Adopted; `stage-preamble.md` (pipeline)","Resolve the existing thing or STOP; never invent a run.md, a branch, a deal history, or intent nobody stated. Adopted deals get true-stage folders, provenance lines, honest gaps — never reconstructed artifacts. Pipeline preamble hard-stops rather than `git checkout -b`.","Good — prevents the classic agent failure (plausible fabrication). Applied consistently in every surface read.","—"
5,"0 · Ambient doctrine","All sessions","The repo wins","Doctrine","Any conflict between estate baseline and a repo`s own contracts","`_system/README.md`; `icm-board .icm/project.md` Business logic; template README","Repo contracts are authoritative over the baseline; canonical-asset drift is reported, never repaired; deliberate divergence is fine but should be visible. Example in the wild: sustentus`s opencode.json denies `gh` while the estate rails allow it.","Good — keeps 23 different products from being homogenised. Creates one live tension: estate-wide lint (hygiene `no-prompt`) vs a repo`s own softened contract (jamienisbet intake README) — see row 138.","Resolve the prompt-rule tension via the TICKETS.md rewrite (report §6b / cut `pickup-verb` 3)."
6,"0 · Ambient doctrine","All sessions","Sustentus is exempt","Doctrine","Any estate tooling or ritual touching sustentus","`AGENTS.md`; every script`s EXEMPT list; `deliver/CONTEXT.md`; TICKETS.md","Its `.icm/` is authoritative (it is the source the template was extracted from). Board reads it natively; icm-check/hygiene/conformance skip it; `/project` refuses unless Jamie names it, then honours its contracts not the estate`s.","Good — honest asymmetry, cleanly implemented. One decayed edge: both boards also skip its `runs/` on a stale premise and hide 6 live runs (report F5).","Fix or re-justify the runs skip (cut `doc-truth` 6 + jamienisbet `sustentus-runs-strip`)."
7,"0 · Ambient doctrine","All sessions","Edit the source, not the output","Doctrine","The same correction made twice at the same stage","`WORKSPACES.md` § Rules; `07_kickoff` lessons row","A repeated fix is a Layer-3 bug: amend the reference file / stage contract so every future run inherits it. Kickoff institutionalises it (lessons row is mandatory; blank invalid, `nothing to amend` valid).","Good — this is the system`s self-improvement loop. Depends entirely on rituals actually running (kickoff has never run — start workspace unproven).","—"
8,"0 · Ambient doctrine","All sessions","Tickets live next to the logic they describe","Doctrine","Cutting any ticket","`AGENTS.md` standing rules; TICKETS.md","A ticket about icm-board machinery is cut in icm-board; a dashboard ticket in jamienisbet; a client-site ticket in that repo. Estate-wide identity is `repo · epic/slug`.","Good — keeps the board meaningful per repo and portability intact.","—"
9,"0 · Ambient doctrine","All sessions","No secrets in git, ever + flag plaintext credentials as P0","Doctrine + programmed","Any write, any file read, any credential encountered","`AGENTS.md`; `WORKSPACES.md` (no secrets in Layer 4); global `guard-plaintext-secrets.sh`; settings deny-lists; lens `data` brief","Env vars only. Deal folders record that access exists, never values. Reads of `.env* / *.pem / *.key / secrets/**` denied machine-wide and per-repo. Writes of credential-shaped literals blocked by hook outside ignored `.env`. Any found plaintext credential = P0 flag to Jamie (kau-american-bbq`s seeded-admin-password P0 stub is this rule working).","Good — multi-layered and it demonstrably fires (kau P0 cut during rollout). Two standing AUDIT P1/P3 items (barzinho history, garmani tracked .env) remain the human tail.","Barzinho history-scrub decision still Jamie`s; garmani `.env` untrack still open (AUDIT)."
10,"0 · Ambient doctrine","All sessions","No outbound action without Jamie","Doctrine","Anything that would leave the machine: email, invoice, rung change, publish","`_system/README.md` house doctrine; `/client` rules; stage gates","Sessions draft; Jamie sends, invoices, flips ladder rungs, ticks gates. The board`s launcher pattern preserves this: every button is a pre-filled session link a human sends. The pipeline-full announce is CI`s, fired only by a merge the owner authorised.","Good — cleanly held everywhere, including in the newest surfaces (deep links).","—"
